b_no	r_no	agegroup	name	birth	seat
90151	43085	1	Wi BongMok	1969-11-25	C09
90152	16646	1	Kung BokRo	2005-11-08	A07
90153	13018	1	O PilSim	1954-07-26	A07
90154	12972	1	Tokko NoWi	1973-04-30	C09
90155	32673	1	Jeup KongSeol	1950-09-21	E04
90156	46666	1	Sang JeongJeom	1959-08-20	D05
90157	39650	1	Man TaeTon	1989-08-26	C09
90158	26741	1	Rang HwanBae	1973-07-12	B01
90159	4562	1	Hyeong ChunNo	1951-01-26	B02
90160	37979	1	Paeng MukHam	1978-07-31	C08
90161	7348	2	Sang HoSi	2018-06-24	C02
90162	10388	1	Hwangmok ChangHam	1999-11-02	E03
90163	34031	1	Eum KamYeong	1970-06-21	A01
90164	2133	1	Kong BanKuk	1996-01-04	E09
90165	45495	1	Mi HwanJin	1953-02-21	C02
90166	32382	1	Nan KokKo	1968-07-28	C10
90167	47584	1	Tokko NaeTang	2013-09-29	A07
90168	22572	1	Sip SeonRo	1953-01-04	E04
90169	6280	1	Mi JeupJwa	2011-08-09	D03
90170	22013	1	Janggok SaMan	1972-01-10	B01
90171	24895	1	Po JeKwak	1984-01-17	E06
90172	39894	1	Choe MangjeolCha	1971-11-19	E02
90173	4941	2	Song HwaNam	2017-05-28	E09
90174	31351	1	Ban SunHwang	1951-08-17	D01
90175	14627	1	Muk MubonKu	1989-04-03	E02
90176	38379	1	Ban WiRang	1956-05-24	C09
90177	31309	1	Tae TongbangKam	1968-11-30	C06
90178	19328	1	Jegal GyeongYeong	1999-07-08	B08
90179	35294	1	Ru ARang	1992-04-26	E01
90180	32056	1	Jeom KaeBok	1977-11-14	C10
90181	32421	1	Kal ToRyang	1955-05-09	C05
90182	5320	1	Chang TokJa	1970-12-30	E06
90183	35588	1	Seong CheonGyeon	1958-10-04	E09
90184	48903	1	Jun AnKwae	1953-12-19	D09
90185	37681	1	Nang EumSam	1984-08-06	B05
90186	24907	1	Ho GwonSi	2013-02-14	B04
90187	33283	1	Muk NuGeum	1998-08-02	B02
90188	10479	1	Ho KilYeong	2001-05-06	B10
90189	31285	1	Kyo RyukAe	1960-04-30	A03
90190	38683	1	Nae AnSam	1988-02-19	D08
90191	30221	1	Roe EomPyo	1957-03-14	E01
90192	47417	1	Eogeum JangJanggok	1978-03-11	C02
90193	731	1	Eogeum JeongRyuk	1958-12-02	A05
90194	46829	1	Cho BiPaeng	1980-12-23	C04
90195	10986	1	Kae YeopJeung	1999-02-11	D06
90196	6301	1	Hyeon YeopBi	1957-08-08	B03
90197	27777	1	Jwa IA	1962-10-03	E01
90198	42491	1	Gwok SeopBeon	1979-11-09	A08
90199	5126	1	Kangjŏn PilYeong	1952-10-28	B04
90200	9296	1	Tae KaeBin	1992-05-04	A01
90201	30841	1	Hak TaePo	2008-02-07	A02
90202	8622	1	Myo BaekRan	1966-02-10	A02
90203	27303	1	Hu RangHo	2004-02-16	C06
90204	27973	1	Ji WonBo	1994-09-05	D01
90205	6566	1	Ryu EunChu	1961-11-02	E07
90206	6481	1	Hyeon ChaA	2008-12-27	D10
90207	5179	1	Ya PiHae	1952-09-29	D08
90208	19897	1	Sang BangTang	1968-09-02	C06
90209	36760	1	Tang UnKal	1975-02-10	C03
90210	26502	1	Jin BoKu	1978-06-20	A07
90211	38706	1	Heo GyeonHae	2000-12-11	E10
90212	22133	1	Geun HwangmokJo	1960-07-26	D03
90213	32275	1	Sa KanJeo	1982-03-04	A05
90214	38371	1	Nu WiJeon	1992-11-06	A04
90215	39837	1	Jeom GwonNang	1984-12-10	B06
90216	43869	1	Yeom ChaBae	1977-11-04	A09
90217	16686	1	Rim BeonBing	1950-10-24	D03
90218	41532	1	Pyeon HoMyeong	1995-01-25	D05
90219	14879	1	Tae PilWang	1955-11-18	D01
90220	35006	1	Ko ChangChong	2004-08-16	B08
90221	32561	1	Hyeon KangjŏnBin	1998-12-31	B08
90222	18723	1	Pi TonJwa	2011-03-04	A05
90223	8810	1	Hyeon KamJeong	1996-07-14	C10
90224	6809	1	Po BeomJi	2016-05-06	A09
90225	10435	1	Cho PiJeom	1980-02-26	B04
90226	24176	1	Jeong SonPung	1972-01-22	E06
90227	21647	1	Bang JeKu	1961-04-16	E03
90228	24422	1	Ye HongWan	1982-10-04	C06
90229	12938	1	Deungjeong HaeTon	2009-10-09	B02
90230	4666	1	Pyo HoRang	2009-04-05	D08
90231	18422	1	San HamHeo	1998-03-18	B04
90232	21071	1	Pyeong YeongYeo	1950-09-20	D04
90233	8054	1	Tang RyeoKun	1993-02-13	E03
90234	32952	1	Un JoKuk	1956-12-29	A04
90235	15345	1	Jeup TakGwon	1985-02-28	E09
90236	25463	1	Cho MokMyo	2008-01-31	E10
90237	30768	1	Ban MubonMuk	1980-01-12	D07
90238	46461	2	Nae MangjeolKyo	2020-02-16	D07
90239	17659	1	Im KwaeChoe	1972-08-31	B02
90240	654	1	Bu PaengKwae	2010-04-08	D06
90241	3975	1	Song MaeHo	1997-11-09	E03
90242	31887	1	Seon TokRang	1983-07-19	E05
90243	47254	1	Kung EumHan	2002-12-31	E09
90244	2876	1	Seong KuSo	1950-03-02	A02
90245	44131	1	Roe TanPung	1978-12-11	A01
90246	12365	1	Wan WiTan	1969-07-14	A09
90247	13874	1	Ryeo HakYong	1991-03-28	B09
90248	48690	2	Kung MaePung	2019-06-14	E03
90249	10798	1	Ham NangKun	2007-10-26	C04
90250	32483	1	Ryeom NoPyeong	1985-08-27	A02
90251	5619	1	Yong KokWang	1970-05-25	D08
90252	22847	1	Sip MaeJu	2006-12-20	A08
90253	4435	1	Kal SeonNam	2015-07-16	C04
90254	15445	1	Beon NamHeung	1959-09-11	B08
90255	12863	1	Hyeon RoNoe	1951-10-06	E10
90256	15913	1	U KiHa	2004-05-07	B08
90257	6047	1	Yeon SobongSobong	1964-07-10	C02
90258	42894	2	Kan SiJwa	2020-12-04	D08
90259	44747	1	Hwangmok PyeongMin	1965-06-18	B09
90260	13800	1	Yo SeokMan	1951-03-11	D06
90261	23011	1	Hak KungMan	1963-12-23	D04
90262	4713	1	Bang EunYeop	1985-08-24	C10
90263	41893	1	Jun BaeO	1966-08-22	A05
90264	4174	1	Kan RoYang	1972-01-30	A05
90265	16010	1	To KimByeon	1991-11-20	D08
90266	26362	1	Sun HongRu	1954-06-10	D09
90267	35890	1	Kwak TangNu	2006-05-02	E08
90268	15526	3	Jeom EomHwa	2023-03-21	E05
90269	27029	1	Bae BoSeong	2015-05-02	B09
90270	48578	1	Mo KukTongbang	1981-10-10	D02
90271	29087	1	Ryang BuKun	1973-08-11	C09
90272	23068	1	Bong TamTa	1963-11-03	E07
90273	49962	1	U GyeongYeong	1978-11-21	E08
90274	2421	1	Nang ANae	1981-09-07	C07
90275	18604	1	Heo TangIm	1993-01-26	D03
90276	27051	1	Seung JeYo	2002-07-29	E03
90277	9377	1	Eum GeumKwan	2008-06-08	C04
90278	29983	1	Chu SunTa	1988-06-16	C03
90279	9682	1	Mo BaeKangjŏn	2004-01-03	A06
90280	47714	1	Ho KokJe	1962-04-13	A01
90281	46479	1	Jang BakJanggok	1963-11-20	E01
90282	46891	2	Hwa PilSon	2018-01-21	E05
90283	8316	1	Ko JiYun	1983-03-14	E01
90284	28455	1	Kwak MunRyang	1954-09-16	B04
90285	10435	1	Cheon BeomYong	1995-09-13	D01
90286	30630	1	Jong YeomSi	1960-12-22	D10
90287	42912	1	An ToPaeng	1994-01-26	E01
90288	15412	1	Rim GeumHa	1976-09-18	E05
90289	15920	1	Geum JiBaek	2006-01-09	D10
90290	29090	1	Chang NuKang	1979-06-10	C07
90291	29278	1	Gwok JwaHyeon	1960-04-27	C10
90292	33021	1	Ye EunSo	1998-01-16	A06
90293	19419	1	Bae DeungJun	1952-10-16	B04
90294	11002	1	Su TongbangYeon	1969-12-14	A09
90295	6312	1	Byeon PyoBong	1985-05-22	A03
90296	24660	1	Rang PaengWi	1988-10-01	C05
90297	44815	1	Yang GwokMyeong	1952-07-06	E01
90298	14047	1	Jegal HoYo	1996-05-16	D08
90299	47880	1	Rang GwonTok	2010-07-28	E04
90300	10185	1	Seomun RanKung	1969-12-23	A04
90301	12843	1	Cha NoeBae	2012-07-09	D04
90302	32691	1	Beon KalHam	2006-07-01	B01
90303	1430	1	Gwon EogeumHwang	1955-03-30	A01
90304	9586	1	Yun KuDeungjeong	1963-09-24	B06
90305	27029	1	Seong JePyeong	1961-03-04	E10
90306	46590	1	Je KwakWan	2011-06-14	B08
90307	932	1	No SuDeung	1954-01-14	C02
90308	38861	1	Roe SeungTong	1956-11-28	B09
90309	42522	1	Ryang KangMun	1974-04-27	C05
90310	21119	1	Tongbang KongHa	1997-07-05	E03
90311	42272	1	Ri JeonChang	1994-05-31	A04
90312	42216	2	Bang KimJeup	2019-01-10	B09
90313	17396	1	Ran JiYun	1974-11-10	D10
90314	34688	1	Tok BiYo	2003-12-15	D05
90315	371	1	Deung MokPyeon	1964-11-24	C04
90316	46059	1	Kuk EomJa	1964-10-14	C07
90317	3334	1	Kim HaJong	1963-12-05	A03
90318	1364	1	Jong KaRyeo	1978-03-11	E02
90319	10819	1	Mo RanJanggok	1994-04-16	B03
90320	32586	1	Yeon SeomunBing	2011-02-28	D09
90321	30498	1	Ku JwaKyo	1995-05-29	C03
90322	7585	1	Pyo SunEun	1969-03-24	D03
90323	17330	1	Mubon KwakTak	2003-08-17	D04
90324	11914	1	Ya WangCho	1968-05-11	A03
90325	44058	1	Kal GeunChun	1961-05-14	D02
90326	10256	1	Tae SongSeong	2002-09-03	D02
90327	4276	1	Jeom UnTokko	2013-09-15	B07
90328	25013	1	Bang JanggokKan	2014-04-08	E08
90329	26167	1	Myo SamPo	1980-02-13	B02
90330	47214	1	Tu SanJanggok	1997-11-11	B08
90331	20339	1	Gyeong TaeMi	2003-04-30	E08
90332	39453	1	Bi KangjŏnCheon	2012-06-16	E09
90333	11292	3	Si JongYeon	2022-11-03	D07
90334	45812	1	Deungjeong YeongTam	2015-07-25	E08
90335	40161	1	Byeon SiMubon	1958-09-28	A08
90336	48117	1	San YangJe	1956-12-25	B03
90337	45192	1	Ryu SunJu	2010-03-12	B09
90338	37253	1	Sip RyuHam	1994-10-02	B08
90339	727	1	Hwangbo BanMok	1984-06-15	A04
90340	33173	1	Kuk KungBi	1989-08-22	A07
90341	4983	1	Kung UnHwangbo	2009-11-03	D01
90342	27081	1	Seo BongHae	1999-03-17	E04
90343	23263	1	Mu HongEun	1993-09-01	A01
90344	18876	1	Ye HyeongTae	1994-03-20	A07
90345	28562	1	Hong YuSim	1982-02-23	E01
90346	44301	1	Myo RyukTu	1994-09-16	B02
90347	14481	1	Jegal BanChang	2003-04-10	C06
90348	39684	3	Pan HuJi	2022-12-27	A03
90349	7690	1	Nang RyeomBin	1954-03-26	A07
90350	18329	1	Rang MokJeon	2015-11-10	C02
90351	13407	1	Bok KyeHak	2008-06-29	A09
90352	22011	1	Maeng KilJa	1956-06-29	B08
90353	35162	1	To TongbangJa	1975-06-11	D09
90354	6704	1	Bak TuOk	1971-03-06	B08
90355	19333	1	Ban WiSagong	1964-12-23	A09
90356	27032	1	Pyeong HoYun	2013-09-27	E10
90357	4373	1	Eo RoeKong	1970-01-27	E09
90358	17360	1	Seonu YukKong	1997-09-15	D10
90359	3520	1	Sam HaMyeong	2017-02-01	E05
90360	41825	1	Eom WonJu	1976-10-07	C06
90361	40075	1	Ryang RyukGeun	2006-04-21	B10
90362	1803	1	Hyeon RoBae	1989-11-10	E06
90363	29516	1	Jin YeoKyo	2001-11-03	A10
90364	30379	1	Sip TaGwon	2017-02-10	B03
90365	22725	1	Yeon EomYun	1988-04-22	D09
90366	48223	1	Jwa KimKyo	1975-12-17	A08
90367	2740	1	Jeom JuUn	2006-03-06	A05
90368	34016	1	Sin AnKun	2000-05-26	E06
90369	22452	2	Bing PyoSang	2019-06-21	A03
90370	7598	1	Byeon MangjeolBeon	2012-06-03	A01
90371	30306	1	San ToSam	1989-10-26	D05
90372	31520	1	Jin HyeongTon	1953-09-21	B10
90373	40633	1	Sip SeoKam	1991-03-29	A08
90374	26593	1	Kwak JinKwak	1950-02-09	E01
90375	14630	1	Yeon ChaeNu	1983-07-28	E10
90376	17681	1	Sagong MokHeo	1992-09-07	E08
90377	44732	1	Eun HanYa	1955-04-21	A10
90378	37918	1	Byeon TaPaeng	1999-01-02	B08
90379	8198	1	Sip ChoSip	1988-04-07	A03
90380	8243	1	Yang TaJeo	1974-01-21	D02
90381	42279	1	Bok DeungjeongPyo	1993-09-09	E02
90382	5488	1	Jo HongCha	2000-12-12	A09
90383	19640	2	Yang JaBeon	2020-07-01	C01
90384	47129	1	Man MaChun	1993-07-14	C02
90385	30435	1	Gyeon HaeU	1958-07-03	B03
90386	11155	1	Ji JongYuk	1973-10-18	C01
90387	985	2	Yeop EumPi	2021-01-07	B04
90388	23768	1	Bang JoSeo	1970-04-29	B06
90389	45170	1	Hwang RanEun	1970-10-08	C10
90390	12561	1	Geum PaengGeun	2005-06-12	B03
90391	16095	2	Ko SeonUn	2020-08-09	A02
90392	42154	1	Chae NamgungKam	1982-08-08	A03
90393	14071	3	Hong GeunBak	2022-06-05	C03
90394	40476	1	Kangjŏn GyeonRang	1989-09-04	C03
90395	6433	1	Ku ChunHwa	1994-04-05	C04
90396	13029	1	An SeopHong	1960-10-07	E09
90397	16530	1	Beon KwakNu	1951-06-20	A04
90398	14678	1	Namgung EomKong	2004-10-14	D01
90399	29454	3	Ri CheonSagong	2022-09-02	B07
90400	2413	1	Janggok PoJeup	1965-07-24	C01
90401	6045	1	Jin TangGwok	1994-04-28	B04
90402	5861	2	Yu RyeoSeok	2018-06-21	C01
90403	14346	1	Yo YangJeung	1956-05-15	B03
90404	26778	1	Seop MokJeup	1990-06-08	C05
90405	10600	1	Mun SeokRi	1996-11-27	C04
90406	37568	1	Chu SeopKam	1976-01-02	B04
90407	39778	1	Yo YeongJeon	2003-06-12	E04
90408	25671	1	Jo SongPi	1974-07-14	A04
90409	48305	1	Ong GeumKun	2012-05-27	E03
90410	13338	1	Jeom JeonSin	2016-09-01	E01
90411	8535	1	Bing KiJegal	2005-08-24	C10
90412	44399	1	Yu TuDeung	1964-12-30	B06
90413	30980	1	Ryeo SagongJeom	1975-04-27	E04
90414	28084	1	Kil BangDeung	1953-08-06	D02
90415	9010	1	Beom TaeKok	1975-04-17	C05
90416	19015	1	In WangMu	1998-04-16	E09
90417	29136	1	Ki DeungjeongYeong	1983-03-11	A02
90418	27071	1	Seomun OkHu	1991-10-30	E10
90419	21148	1	Geun HaCheon	1973-08-06	B10
90420	44079	1	Bing SeoKwak	2016-02-29	E09
90421	2255	1	Cha JangKu	1979-02-06	A01
90422	32234	1	Jeom JeonSin	2017-04-06	E03
90423	31117	1	Bo PyeonHwan	1955-05-04	E07
90424	8068	3	O HuHyeong	2021-08-31	A05
90425	20030	1	Pi KoKal	1999-12-16	D05
90426	28482	1	Gyeong EomJeo	1965-01-29	B09
90427	26087	1	Kun SonTo	1963-06-26	A10
90428	179	1	Pung JongHong	1960-09-21	C08
90429	10802	1	Sun GeumKim	1953-05-30	D10
90430	39062	1	Namgung OkHyeon	2000-01-01	B02
90431	16935	1	Son TokJong	2003-07-02	C10
90432	11133	1	Jeup KokYu	2009-03-21	D10
90433	7057	1	Ja WanYa	1974-05-31	D02
90434	44107	1	Cheon BangYeo	2013-12-21	E03
90435	28617	1	Deung BangMok	1994-10-07	D06
90436	12114	1	Pung KungA	1988-09-27	A02
90437	45054	1	To RiKung	1988-03-09	E03
90438	1555	1	Cho RyangGyeong	1998-08-23	C05
90439	9597	1	Hwa ByeonNoe	1999-12-09	E04
90440	10948	1	Sip ChangRang	1998-10-27	E09
90441	28230	1	Eo OnRyeom	1996-05-08	C02
90442	17882	1	Yong ChuTang	2009-02-22	A03
90443	35368	1	Jin TamHak	1994-08-18	D03
90444	34137	1	Bo SeonuWon	1982-11-26	A04
90445	15522	1	Tan SobongSan	2009-03-14	E09
90446	10565	1	Jun TangKim	1967-09-11	B07
90447	30936	1	Eom TamNa	2009-04-20	E05
90448	49454	1	Mo KaPan	1962-05-06	D04
90449	36472	1	Un NamgungHwan	2012-12-31	E03
90450	25736	1	Ryuk AWon	1989-09-13	E09
90451	36635	1	Ryeo MyoHyeon	2009-03-05	A08
90452	44764	1	San SangHu	1977-02-19	E05
90453	40308	1	Jeom RaMok	1978-09-09	D03
90454	15816	1	Ma MukBeon	2003-09-26	D04
90455	8060	1	Ryuk BokSeok	1987-03-06	C03
90456	49106	1	Ku BokTon	1994-06-26	B03
90457	4586	1	Namgung RiPung	2013-02-26	C04
90458	7049	1	Ru MunCha	2008-08-06	E08
90459	1711	1	Wi BongSun	1996-01-26	B02
90460	45632	1	To JongHwa	2015-06-04	A01
90461	38513	1	Jeong SeolBu	1973-08-10	D06
90462	4737	1	Pan JeonKun	1961-12-16	C08
90463	4752	1	Kwae TakHak	1980-11-27	C04
90464	38292	1	Jeo InChoe	1988-04-08	E04
90465	7805	2	Kal YeonJang	2019-10-08	E09
90466	25887	1	Baek NamgungNamgung	1953-10-01	E04
90467	37839	1	Wan RuDeung	1960-07-30	D10
90468	17254	2	Un DeungTo	2018-12-16	D02
90469	22896	2	Sa NanRa	2017-11-24	D05
90470	45639	1	Pyeon BaeYuk	1988-10-29	D10
90471	31660	1	Ok JongHwangbo	1953-04-26	C06
90472	2797	1	To MubonSang	2012-08-21	D07
90473	7781	1	Janggok BanAe	1966-01-09	A08
90474	29550	1	On JeupHeung	1972-07-30	E02
90475	21641	1	Son RiHyeon	1958-06-03	C01
90476	42357	1	Nan MangjeolHwangmok	1997-06-24	D10
90477	43439	2	I BangHwang	2019-11-01	B02
90478	40560	2	Jang HamYe	2019-12-13	B06
90479	46747	1	Jin SoAe	1950-06-24	C04
90480	2485	1	Kam YeopMa	2012-10-09	A01
90481	11027	1	Un PiKyo	1996-05-22	B03
90482	9452	1	Noe NamgungHak	2001-01-26	A07
90483	13309	1	Nae RimDeung	1976-03-25	E01
90484	44992	1	Gyeong OkKu	1964-05-28	E03
90485	31348	1	An SongJo	1964-07-12	E06
90486	13417	1	Paeng WiWan	1980-08-09	C10
90487	20999	1	Bok KongChoe	2009-05-19	A02
90488	1666	1	Jang YukPil	1965-03-08	D08
90489	20549	1	Sang KokMa	1984-02-17	C06
90490	8885	1	Deungjeong JunYeop	1985-08-01	A06
90491	48917	1	Hwangbo HwanGyeong	2011-08-07	A03
90492	40500	1	Tokko YongJong	1976-03-28	B03
90493	16766	1	Jwa BakJu	1969-04-03	A06
90494	41670	1	Ryeo MuHong	1969-04-21	E08
90495	15592	1	Ro MangjeolPyeong	1977-03-28	D09
90496	10366	1	Son KimTan	1981-04-06	D06
90497	44444	1	No KiTang	1997-08-24	C01
90498	12918	1	Ryeo PungYong	2014-03-16	C01
90499	46690	1	Beom JongChang	1996-06-08	D06
90500	47942	1	Tang ToMyeong	1971-11-14	A10
90501	36551	1	Jeup BaekYuk	2010-04-01	B02
90502	25694	1	Tokko KongRu	1982-08-15	D03
90503	17125	1	Bok BakKwan	1988-06-27	B09
90504	48826	1	Pung RyeomRan	1973-10-28	B04
90505	16684	1	Kyo GyeongYeon	1986-09-12	A10
90506	8668	1	Bing YukMun	2015-11-28	B05
90507	34526	1	Sim RaNa	1951-04-28	A08
90508	9864	1	Yu NoeKwak	1989-07-31	D01
90509	14987	1	Bae SeonSeong	1960-12-09	A05
90510	38315	1	Mun ChangMun	1981-01-09	A03
90511	25263	1	Kan NaMaeng	1957-10-10	C03
90512	27318	1	Ma TaeRang	2000-07-13	A07
90513	2690	1	Hwan EogeumKye	1970-07-23	B02
90514	40749	1	Jong SoJeung	2004-07-08	C10
90515	4326	1	Cha DeungRyu	1984-07-30	D02
90516	17222	2	Tam JeonSam	2020-10-10	A08
90517	28245	1	Seong TongSan	1995-11-14	E10
90518	33971	1	Kwan SuTok	2008-02-24	D02
90519	16049	1	Noe SinRyu	1951-08-28	A09
90520	26582	1	Cheon PyeongKuk	1989-05-15	D05
90521	19305	1	Seonu JeoNoe	1973-08-31	D10
90522	1262	1	Jwa YeonTae	1958-06-26	A01
90523	16850	1	Bing RuTa	1994-05-23	A01
90524	35993	3	Eun YukGwon	2022-12-13	C05
90525	45613	1	Myo RaJu	2014-12-23	D10
90526	19874	1	Bi YeonNa	1961-04-06	A03
90527	33496	1	Tok KangSam	1966-02-28	B10
90528	3074	1	Cho HwangmokYo	2009-11-17	E03
90529	4924	1	Ryang RoeNae	1953-04-19	B09
90530	32151	1	Hwa HwangboCho	1977-02-17	A02
90531	17773	1	Su YukYang	1964-02-02	E01
90532	40516	1	Eogeum BuBu	2012-03-11	D07
90533	31868	1	Sagong SeolHyeon	1984-04-11	E05
90534	41792	1	Nu KalMaeng	1956-10-27	D04
90535	48203	1	Eo AnKang	2002-01-06	C07
90536	38375	1	Ya KuYo	1959-10-30	D06
90537	11614	1	Eom DeungjeongKun	1969-09-19	E02
90538	13114	1	Jang GyeonDeungjeong	1997-05-16	A05
90539	547	1	Kwan SeokDeungjeong	1952-02-02	A01
90540	45508	1	Sin TongbangJeo	1995-12-12	E03
90541	46103	1	Beon JeupJun	2001-06-02	E05
90542	20106	1	Roe NoSobong	1968-07-19	A01
90543	7177	1	Han JegalRang	1951-01-29	D08
90544	17720	1	Deung RaCheon	1953-06-24	A05
90545	44952	1	Pil PyoNan	1972-10-19	E05
90546	5450	1	Kwae KaYu	1967-06-10	A09
90547	17911	1	Ryu HwanDeung	1982-05-03	C01
90548	20679	2	Bok TongbangMubon	2017-05-13	D07
90549	24440	1	Ru YukChong	2010-04-04	A04
90550	4503	1	Eun TangEo	1970-11-15	C03
90551	18431	2	Sagong KwakSim	2020-05-26	D01
90552	23687	1	Kye ByeonRoe	1993-09-29	B04
90553	36745	1	Myo MunWon	2003-02-18	B07
90554	48067	1	Bok SagongTon	2016-06-18	D04
90555	6700	1	Tam MyoNa	1981-11-16	C02
90556	47159	1	U JegalRyang	1987-09-18	E02
90557	27029	1	Beom BaekDeungjeong	2014-04-19	C05
90558	558	1	An BokGwon	1953-07-08	B04
90559	20505	1	Sam SipYeon	1985-11-16	C10
90560	32877	1	Chae RyukMa	2009-12-26	D10
90561	41875	1	Kuk BanKwan	1987-07-26	A03
90562	23648	1	Tae NamgungBing	1951-04-26	E10
90563	11501	1	Byeon KungRyeo	1981-12-11	C04
90564	29575	1	Tu EunSeung	2015-04-16	D03
90565	34014	1	Yun SoOk	1991-01-13	C04
90566	15288	3	Ya PaengRang	2022-11-15	C08
90567	42253	1	Po JaEom	1990-12-11	B01
90568	1301	1	To RangDeung	1980-10-12	C07
90569	7265	1	U RyeoKangjŏn	1995-02-01	D03
90570	27442	3	Kyo JeungJanggok	2022-05-08	D09
90571	16931	2	Rim PungMok	2017-06-17	C01
90572	15977	1	Sun YuNam	1966-06-11	C07
90573	48418	2	Kun KwaeJegal	2019-03-05	D05
90574	26547	1	Bi MiHan	1958-02-20	A09
90575	2961	1	Wi JeupRyang	1980-09-19	D08
90576	23679	1	Jeon KyoKwan	2000-07-24	C06
90577	14438	1	Cha JeoKangjŏn	2015-09-08	A01
90578	43887	1	Ki MaRan	1976-05-13	E09
90579	13384	1	Kang HwangboTokko	1952-05-11	E06
90580	26431	2	Sobong InWang	2019-01-12	A09
90581	42733	1	To KukPung	1957-04-12	D10
90582	33421	1	Tae ChoePaeng	2000-02-22	D07
90583	30824	1	Sobong PyoKangjŏn	1998-09-25	C01
90584	4430	1	Jeon YeopAn	2014-01-18	A09
90585	15560	1	Kil OnMyo	1985-11-25	E03
90586	21472	1	Pyo ANan	1995-10-19	B03
90587	27461	1	Ok BinHwangbo	1972-10-21	E03
90588	33772	1	Kang GwokBing	1964-11-23	E10
90589	763	1	Seon WonGeum	2009-04-14	A02
90590	49992	1	Heung JangRu	1973-12-12	A07
90591	40264	1	Ran TokKun	1953-09-04	B02
90592	26574	1	Pan TongbangNan	1962-11-08	E08
90593	33316	1	Eum KwakJi	2000-12-10	A08
90594	35817	1	Gwok MyoMuk	1994-12-19	E04
90595	19017	1	Ja BeonCho	1957-04-28	B05
90596	24956	1	Kam HongOng	1963-07-12	D08
90597	15228	1	In AnKwae	2006-03-05	E04
90598	42877	1	Ya JeoKil	1992-07-07	B07
90599	25897	1	Tokko KangjŏnKae	1984-06-23	D01
90600	43209	1	Yu ManMin	1963-02-04	A01
90601	46961	1	Kwak TongJong	2012-05-23	B02
90602	29149	1	Gwok IKan	1997-06-10	D04
90603	28800	1	Sagong TamKwak	1960-08-05	B03
90604	37570	1	A HeoGyeon	1961-04-01	E07
90605	42768	1	Deung GwokDeung	2007-03-14	A09
90606	6823	1	Ae PoHae	1952-06-07	E02
90607	17896	1	Yo JeupNam	1997-03-14	C03
90608	28470	1	Hyeon GwokJeup	1998-12-23	D09
90609	32938	1	Ju RyeomSeo	1976-01-26	D04
90610	17090	1	Jin TuMu	1968-12-19	E05
90611	33873	3	Jegal RiWang	2021-12-30	A08
90612	24749	1	Paeng SangPi	2008-02-08	D08
90613	6176	1	Man HwangYe	1988-12-29	B06
90614	9987	1	No YaSun	1982-07-05	A05
90615	30072	3	Pyeong SoNae	2021-05-05	D04
90616	32697	1	Bin JinKwak	1993-01-23	A03
90617	14822	1	Gwok TaeTang	1964-07-08	D08
90618	12383	1	Kil DeungYang	2013-10-09	E07
90619	14290	1	Hwan GwokTak	1977-05-04	B02
90620	38503	1	Tae TokkoYeo	2008-06-13	C06
90621	29055	1	Kyo BongSeong	2011-05-13	D10
90622	3358	1	Mu ByeonEom	1978-02-24	D09
90623	42933	1	O NaRa	1959-05-14	B04
90624	8002	1	Cheon JiPyo	1997-01-15	C08
90625	31422	1	Kwak HeungSeol	2012-02-08	E03
90626	26644	1	Cho RuPyeong	1992-12-17	D04
90627	21837	1	Seok YeonEogeum	2003-03-28	B01
90628	10592	1	Seop PyoHwang	1962-08-29	E04
90629	42403	1	Hak EumNang	1954-02-05	C09
90630	29146	1	Jeom UTak	1999-01-20	C01
90631	24967	1	Bok KukGeun	1989-06-10	E10
90632	48611	1	Eun RyukKae	1989-05-22	E09
90633	44885	1	Son MuTong	1969-01-24	C08
90634	16931	1	Seong ChongJun	1950-10-24	B06
90635	35360	2	Hae SeomunOk	2021-03-25	B09
90636	7410	1	Nang RyukSeon	2011-08-28	E06
90637	45873	1	Yang YeopSeop	1974-07-11	C06
90638	39032	1	Ha KalGeum	1993-08-22	B10
90639	19186	1	Yu YangTang	2010-01-20	A09
90640	3649	1	I BaekYeong	1964-05-05	D08
90641	2380	2	Seol JuNoe	2018-06-18	A03
90642	48776	1	Sam JaKu	1965-03-13	B07
90643	41798	1	Wang KilRang	1967-09-28	B10
90644	34604	1	Bin BaekPyeong	1985-12-21	E04
90645	729	1	Tam MaJeup	2004-09-29	C07
90646	21798	1	Ro MaengJegal	1951-11-27	A01
90647	18822	1	Kim MoJeung	1960-03-29	C04
90648	46721	1	Maeng TanKae	1980-07-14	C10
90649	22735	1	Ran KwakTon	1974-06-11	C02
90650	16692	1	Ru SanWi	1965-12-24	D01
90651	11435	1	Kuk KaWan	1980-02-15	A08
90652	12895	1	To SoMaeng	2011-06-30	E07
90653	32190	1	Tam PyeongNo	1964-07-22	E08
90654	8931	1	Tok RoeYo	1967-05-15	B09
90655	38667	2	U DeungjeongYeong	2017-06-17	D03
90656	35478	1	Baek MunRang	1975-05-04	E08
90657	49837	1	Heung BinWan	1983-01-26	D01
90658	19383	3	Chu NoKil	2021-10-29	E08
90659	29816	1	Hyeon SangMu	1997-09-05	B04
90660	8951	1	Su HaeJeup	1957-07-22	E02
90661	43931	1	Chang BuKa	1978-11-08	A06
90662	32935	1	Yeop RyeoHwang	2013-01-03	A10
